CpG_name,Genomic_location,Chromosome,Chromosomal_position,Gene_name,Associated.phenotype,Model.coefficient,Pearson.correlation,P.value,BH.adjusted.P.value,Bonferroni.corrected.P.value,Previous.studies
cg13591783,chr9:75768868,9,75768868,ANXA1,eGFR slope,1.5387046022237545,0.2383257346998879,9.860699774013162e-07,0.0186456400752892,0.4288497217316516,
cg18334849,chr4:90815958,4,90815958,MMRN1,eGFR slope,1.3297792604212004,0.21013814856394994,1.2120877784774536e-06,0.021422325675482076,0.5271466715620724,
cg02214188,chr4:104020949,4,104020949,BDH2;BDH2,eGFR slope,1.2152735104435046,0.19225071894694645,1.2314285823370733e-06,0.021422325675482076,0.5355581418870519,
cg25187161,chr1:29510025,1,29510025,SFRS4,eGFR slope,1.261891926441096,0.196654244532143,1.399276474699251e-06,0.02340602050225007,0.6085565330585019,
cg26982829,chr17:29335153,17,29335153,,eGFR slope,0.9309025821059138,0.14648098335954177,1.4867089294313125e-06,0.023766944620731936,0.6465816070811132,
cg13491023,chr1:109621995,1,109621995,,eGFR slope,1.1047705581166083,0.17603406377026037,1.5301499383329217e-06,0.023766944620731936,0.6654744493804943,
cg18991242,chr7:154722142,7,154722142,LOC100132707;LOC100132707,eGFR slope,0.9175558687075139,0.14629398487366002,1.9632320993052416e-06,0.029442253304987724,0.853825345844644,
cg25919221,chr1:9006680,1,9006680,CA6,eGFR slope,1.1494486069480003,0.18094674130324312,2.204493500147417e-06,0.02968219504703632,0.9587518591621129,
cg04111435,chr11:63448455,11,63448455,RTN3;RTN3;RTN3;RTN3,eGFR slope,1.417954515699001,0.22022798948555303,2.2429568518383227e-06,0.02968219504703632,0.9754798785193013,
cg13948857,chr5:131763756,5,131763756,C5orf56,eGFR slope,1.7437172791026967,0.2670303362802391,2.2613755281215634e-06,0.02968219504703632,0.983490308184293,
cg10761425,chr3:12988976,3,12988976,IQSEC1;IQSEC1,eGFR slope,-0.9552191851684997,-0.1516631529526276,2.278266302062976e-06,0.02968219504703632,0.9908362408976047,
cg07846885,chr16:22959005,16,22959005,,eGFR slope,0.9670242312056794,0.15415949759986056,2.32047842669998e-06,0.02968219504703632,1.0,
cg26803216,chr1:193029757,1,193029757,TROVE2;TROVE2;UCHL5;TROVE2,eGFR slope,1.659777857324232,0.2583642654933345,2.7011743307751126e-06,0.03356463788139265,1.0,
cg22043634,chr8:144798336,8,144798336,MAPK15,eGFR slope,-0.9423606874011868,-0.1502107964838088,3.6116825193904215e-06,0.04215211598703866,1.0,
cg25248213,chr11:94888121,11,94888121,,eGFR slope,0.9669157535443988,0.15332883166974579,3.6219108178531703e-06,0.04215211598703866,1.0,
cg01821751,chr17:56071745,17,56071745,,eGFR slope,1.0056730845906967,0.16012860399679474,3.7507610192568635e-06,0.04215211598703866,1.0,
cg03145994,chr20:60528916,20,60528916,MIR1257,eGFR slope,0.8401059604667438,0.135158909246763,3.77995466511195e-06,0.04215211598703866,1.0,
cg00777079,chr17:1666607,17,1666607,SERPINF1,eGFR slope,0.8632465466580443,0.13792657458628785,4.153842660907094e-06,0.04516348509924455,1.0,
cg12082302,chr1:6421246,1,6421246,ACOT7;ACOT7;ACOT7,eGFR slope,0.8822865192187763,0.1401631469830289,4.354312105165346e-06,0.04613972869728173,1.0,
cg17373644,chr5:1806786,5,1806786,NDUFS6,eGFR slope,0.8296277075555041,0.13399577683497751,4.455812735764421e-06,0.04613972869728173,1.0,
cg06899522,chr1:9355438,1,9355438,SPSB1,eGFR slope,0.8574022471273727,0.13662421182145212,4.6246932155214305e-06,0.04677479248781383,1.0,
cg21573651,chr14:38681111,14,38681111,SSTR1,eGFR slope,0.8940888619042814,0.14262988602167753,5.038158377993654e-06,0.04860103146393413,1.0,
cg16906733,chr19:9941989,19,9941989,,eGFR slope,0.8566137273893978,0.1376531576219703,5.13328556551199e-06,0.04860103146393413,1.0,
cg10927461,chr2:122530159,2,122530159,,eGFR slope,1.8128285047006951,0.27553764328673314,5.33867327516304e-06,0.04860103146393413,1.0,
cg26137350,chr2:190035925,2,190035925,COL5A2,eGFR slope,0.9284299354254375,0.1453526058656409,5.3652500893293855e-06,0.04860103146393413,1.0,
cg08944940,chr1:39643664,1,39643664,MACF1,eGFR slope,0.8968679520986035,0.14165651407463525,5.619307104297713e-06,0.04860103146393413,1.0,
cg18491744,chr8:41580834,8,41580834,ANK1;ANK1;ANK1;ANK1;ANK1,eGFR slope,0.8331304418323976,0.13360316469209513,5.6382021007971496e-06,0.04860103146393413,1.0,
cg25266888,chr11:2482594,11,2482594,KCNQ1;KCNQ1,eGFR slope,0.8552031997045312,0.13686201207284593,5.8908052007722135e-06,0.04860103146393413,1.0,
cg26557756,chr7:42278096,7,42278096,GLI3,eGFR slope,0.8671226947067077,0.1356249188052268,5.9583336211277775e-06,0.04860103146393413,1.0,
cg04953732,chr10:114709946,10,114709946,TCF7L2;TCF7L2;TCF7L2;TCF7L2;TCF7L2;TCF7L2,eGFR slope,1.2234552293797338,0.19412560126790704,6.039077064035353e-06,0.04860103146393413,1.0,
cg22398226,chr4:155662217,4,155662217,,eGFR slope,1.0503539656187886,0.16633676137360898,6.063587877587759e-06,0.04860103146393413,1.0,
cg23676314,chr17:1835482,17,1835482,,eGFR slope,-0.823235930203038,-0.1319011176807786,6.093537448448935e-06,0.04860103146393413,1.0,
cg15989436,chr5:150465875,5,150465875,,eGFR slope,1.1903414195219757,0.1854398897055496,6.153247586830711e-06,0.04860103146393413,1.0,
cg13479358,chr6:28603052,6,28603052,,eGFR slope,0.9008513839242764,0.1421211905590491,6.467847950737488e-06,0.04860103146393413,1.0,
cg26781886,chr5:49737336,5,49737336,EMB,eGFR slope,0.9521605839030853,0.14935756967260058,6.7083801758228e-06,0.04860103146393413,1.0,
cg22971191,chr13:103719706,13,103719706,SLC10A2,eGFR slope,0.8642591334445243,0.13688552558938558,6.884761164019153e-06,0.04860103146393413,1.0,
cg09458420,chr2:231661317,2,231661317,CAB39;CAB39;CAB39,eGFR slope,0.9338883482605713,0.14783142436615385,6.9300855024826445e-06,0.04860103146393413,1.0,
cg02612007,chr8:103876471,8,103876471,AZIN1;AZIN1,eGFR slope,0.8383988278528924,0.1328524355045291,7.223901294992224e-06,0.04860103146393413,1.0,
cg26322816,chr3:27760732,3,27760732,EOMES,eGFR slope,0.8633982637024328,0.13875714111904813,7.335876435947517e-06,0.04860103146393413,1.0,
cg22201516,chr19:32715740,19,32715740,,eGFR slope,1.149207756485827,0.18290777506539385,7.425709791362888e-06,0.04860103146393413,1.0,
cg14403169,chr12:97239532,12,97239532,,eGFR slope,0.9703219424235068,0.15429540740519898,7.473270376161794e-06,0.04860103146393413,1.0,
cg10936879,chr10:74397277,10,74397277,,eGFR slope,1.415723615292075,0.21907462172741693,7.513659103941804e-06,0.04860103146393413,1.0,
cg10099709,chr14:70721864,14,70721864,,eGFR slope,0.8432547814544287,0.1330139908596045,7.75502513367529e-06,0.04860103146393413,1.0,
cg02448743,chr10:102824003,10,102824003,KAZALD1,eGFR slope,0.8535666891833711,0.1367279837986389,7.837886064655346e-06,0.04860103146393413,1.0,
cg03739354,chr1:212839040,1,212839040,,eGFR slope,1.260951517687606,0.19946351350819894,7.902202466809873e-06,0.04860103146393413,1.0,
cg10580144,chr2:61372316,2,61372316,C2orf74;C2orf74,eGFR slope,1.1453774049041248,0.18196511116381256,7.940809820895323e-06,0.04860103146393413,1.0,
cg00974149,chr17:56296512,17,56296512,MKS1;MKS1,eGFR slope,0.873198463169723,0.13931425389093574,7.982214842876536e-06,0.04860103146393413,1.0,
cg16103996,chr7:34214897,7,34214897,,eGFR slope,0.8604166224402424,0.1367041214596788,8.025922295616868e-06,0.04860103146393413,1.0,
cg09256617,chr11:44587148,11,44587148,CD82;CD82;CD82;CD82,eGFR slope,0.8626249982558201,0.13740952821764713,8.10714207044986e-06,0.04860103146393413,1.0,
cg18698399,chr5:125939337,5,125939337,PHAX,eGFR slope,0.8714653793608219,0.13680669525474354,8.120499182713831e-06,0.04860103146393413,1.0,
cg25381747,chr10:115425899,10,115425899,,eGFR slope,0.8936318679018664,0.14342788884705154,8.24311370061165e-06,0.04860103146393413,1.0,
cg11161440,chr1:160041446,1,160041446,KCNJ10,eGFR slope,0.8316219960384574,0.1340729725269244,8.269510628296389e-06,0.04860103146393413,1.0,
